,occured,reported,posted,location,text
84,4/5/2017 20:00,5/3/2017 2:02:29 AM 02:02,5/6/2017,"Lapine, AL","Around 8 pm, on April 5th, 2017, I videotaped a square object floating within the tailing end of a stormcloud.I was outside Lapine, Alabama, near route 331, when I noticed a lone storm cloud on the northern horizon.  The cloud was slowly moving west to east.  Many cloud-to-cloud lightning bolts were flashing within the cloud, but few cloud to ground bolts were visible.  The lightning bolts were blue-violet in color.  Many low rumblings were coming from the cloud, but few could be connected to a single lightning bolt.  A person watching the cloud with me commented that the lightning activity was both unusually quiet and concentrated within the cloud.  They stopped watching the cloud and went inside before the object became visible.  They also noted that their dogs, normally afraid of lightning, were unusually calm during the storm.I decided to videotape the electrical activity visible in the center of the cloud a few minutes.  After recording the central portion of the cloud, I thought it might be a good idea to record the rear.  The sighting occured during the following seconds.During a fraction of a second a lightning bolt lit up the rear of the cloud.  When it did, what appeared to be the corner profile of a building-sized rectangle appeared.  A second brighter flash illuminated a wider area, revealing more of the object.  The object then disappeared from view.  Between the two flashes, the object appeared to change shape.I recorded more video of the cloud hoping to see the object again, but failed to get any more footage.  Other clouds similar to the first passed by to the south.  Two planes flew in a line southward over the area about 5 to 15 minutes afterwards.A person I know in the area claims that a wifi dongle had to be reset due to activity that night, and/but I can't tell if the object was the cause.I was told that two weather radars were down for maintenance during this time.I have sent screenshots from the video to the email address below, but they aren't very detailed.  I may send frames if I can get a video editing program for my phone.((NUFORC Note:  We have reviewed the photos that were forwarded by the witness, and we see nothing that is suggestive of UFO activity.  PD))"
85,4/3/2017 00:30,5/1/2017 4:04:07 PM 16:04,5/6/2017,"Portland, OR","Color changing, silent, slow moving oval above Portland's West Hills.I woke up because my cat was meowing at the window. I told her to be quiet, but she just kept on meowing, so I opened my eyes. I looked out of my window to see what the cat was meowing at thinking it must be a box elder bug on the glass or something, but instead I saw a big green oval of light.I live in a high rise building and can see Council Crest and the eastern side of West Hills from my apartment.  I can make out the houses and features of this part of West Hills well.  I could see a big green oval of light in the sky.  It seemed to be moving slower than a plane or helicopter, and seemed to be silent.  I put on my glasses so I could see it better out of curiosity and when I realized it wasn’t a plane or helicopter, I ran out of bed over to the window to get a better look. I saw the oval move towards West Hills.  Then it slowly went over the hill and then I couldn’t see it anymore.  The whole time it was floating around, it was gradually changing color from green to orange-red and back to green, with the color change seemingly starting towards the bottom right of the oval, and then sweeping over the rest of the oval until the thing had mostly turned orange-red.I don't know if the oval was solid or just light, but it seemed to have very clearly defined edges.  It was not like spot lights at all, which kind of have fuzzy, soft edges.I know the oval was not a plane because planes are not oval shaped and they move faster.  I see planes all the time from my windows, sometimes even antique ones, but this was not plane shaped and did not make any sound like a plane.  I know the green oval was not a helicopter because I see helicopters a lot, too, and they are noisy and I can clearly make out the helicopter shape.  In fact, I saw a helicopter come from the SW part of Portland towards the center of Portland a few minutes after I saw the green oval. I know this wasn’t a car on the streets of West Hills because I could clearly see the oval in the middle of the sky at first.  And I don’t think it was a drone because it looked to be wider than the houses it was above in West Hills when it was above them.  I thought for a second that it might be the aerial tram, which I can see a little bit from my place, but the aerial tram doesn’t change colors, it is not green and it doesn’t float around in the middle of the sky, obviously.  I don’t even think that tram runs at 12:30AM.I know the oval wasn’t making noise because I can clearly hear planes and helicopters from my apartment.  Also, even though this green oval floated really close to the houses on West Hills, nobody’s lights went on like they heard a loud noise above their house.  I had my window cracked and could hear the helicopter a few minutes later, so I know that the noise would have definitely have come through if there were any.I tried to take a picture of the oval but my hands were shaking and I kept dropping my phone because I was a little nervous about the green thing in the sky, not knowing what is was and all, and I was trying to make my cat stop meowing by petting her at the same time.  By the time I got my phone camera ready, the thing had floated over the West Hills and out of my sight.  I don’t know what the green oval thing was, so I am hoping maybe someone else does and can tell me.  I could draw a picture of it if that would help identify it."
86,3/31/2017 19:13,5/1/2017 9:24:50 AM 09:24,5/6/2017,"New Panvel (India), ","Yellowish dot of light captured in a live photo.I was sitting in an open area with my friends and hanging out.  Since the sky was looking beautiful, I started taking pictures with my phone and in my phone there is a feature known as live photo so while seeing the photograph I observed this tiny dot of light moving inside the cloud and in the 5 second clip of photograph the light dot is moving continously and changing its position."
87,2/27/2017 00:30,4/30/2017 6:50:26 PM 18:50,5/6/2017,"Grand Rapids, MI","color and shape changing, ball/cigar. spotted above st.mary's hospital for 45 minutes hovering still then floating around.Seen a color changing, light fading ball and then transformed into a cigar then back to a ball. it was hovering above the area of st.mary's hospital.  My girlfriend was the first to witness the ufo thinking it was a star.  Until we started seeing it move in every direction. There's no way a plane wouldve stayed in our sight that long.  There's no way a helicopter would have hovered that long or probably be allowed to over the hospital air space.  It was not a drone because it had very bright color changing lights.  It was not ball lightning because at most that lasts less than 30 seconds, and this went on for 45 minutes.  At some points, we thought we seen some lights fly off of it.((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))"
88,1/29/2017 03:30,4/29/2017 4:27:30 AM 04:27,5/6/2017,"Auburn, WA",It was oval/saucer looking shape and it blend in with the night sky what look like it had 3 orange street lights on the ship.  And it was tilted sideways.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))
89,1/9/2017 03:12,4/29/2017 4:49:55 PM 16:49,5/6/2017,"Birmingham, AL","I heard a low humming sound.About 3 am, I was up watching tv, when I felt a low humming in the air.  It had a wide range of volume so I knew it couldn't be in the house because of the brick structure I was in.  I walked outside as the humming got stronger, looked up and saw nothing but complete darkness which was normal but the humming was right above me and moving.  Then about thirty seconds later, I noticed the black sky I thought I was seeing was moving cause now I can see the back of it moving away making view of the real night sky with stars and night light.  The black object slowly moved on over my back yard which is three acres but the object was at least one mile long and one mile wide cause of the duration of time it took to become noticed by sound and the time it took to disappear.  It was about a quarter mile above my trees.  The sound was a air humming sound with no detonation."
90,10/27/2016 21:00,5/2/2017 8:48:20 PM 20:48,5/6/2017,"Los Angeles, CA","On Saturday, October 27, 2016, I was walking down 50th Street.  It was around 9:00 pm.  I happened to be the only person on the street at that time.  I saw a light in the night sky in a Northern direction towards the Hollywood Hills.  I first I taught it was a LAPD police helicopter.  However, when I stopped and look saw it was two orange balls in the night sky.At first I thought they were moving.  However, then I realized they were stationary.  They just stood in the sky not moving.  I was alone on my street and couldn't figure out  to do.  Then I said to myself let me take a picture of the objects.  Before I could get my phone out to take a picture one ball disappeared leaving a shining orange sparkling light, then completely disappeared.  A few seconds later the second one disappeared exactly the same way."
91,10/14/2016 00:00,4/30/2017 12:32:06 AM 00:32,5/6/2017,"Smithtown, NY","Strange orange lights moving parallel in the sky.I was talking to my friend before she was leaving my house one night, and I remember, looking up at the night sky.  There were quite a number of stars out, as I live in the woods, so it was always nice to gaze up at them.  Then from the corner of my eye, I saw something orange. Looking over, I noticed lights in the sky, moving at the same speed and parallel with each other.Upon seeing them, it turned out there were two more sets of lights.  One of the sets of lights, reminded me of a colon symbol from the keyboard, moving straight over my house and over the trees.  Following the same path was another set of lights only the looked as if a colon was on it's side.The third set of lights, broke the formation by going diagonally across the sky.  It seemed to have started off with them but ended up breaking away, still staying parallel with itself.  It was almost as if the sets of lights were attached in the pairs by a bar.These lights didn't blink, and they weren't slow like a plane. They also seemed to be flying too low for them to be a plane as well. I'm pretty sure they were actually in the atmosphere.As I watched them, I had three thoughts cross my mind.  One was just surprise, but the other two thoughts stood out.  These thoughts were ""get inside"" and ""what are you looking for?"".  Of course, I had stayed rooted to the spot until they were out of site, before my friend and I said goodbye.((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))"
92,7/15/2016 22:30,5/2/2017 10:12:44 AM 10:12,5/6/2017,"Brooks, OR","Bright orb shaped light in distaces got brighter, then moved over freeway, light went off triangle shaped craft w three glowing ports.Driving in slow lane southbound I-5, when we witnessed a huge bright whitish star-looking light in southwestern sky.  We noticed the light was to large and to be a star and kept growing in size and intensify.  We also noticed the object was moving towards the freeway.  The light on this object stated to fickler as it moved over I-5.  The large light then went out and we both got very quiet as we could see a triangle shaped craft with three small lights on it.  As we continued down I-5, we drove right under it and through the sun roof on my highlander I could see two small windows on the side of the vehicle.  The object was black and hard to see.  I have seen strange objects in the sky in this area before.  The entire area between Woodburn and Salem is very deserted."
93,10/1/2015 22:00,5/5/2017 3:31:17 PM 15:31,5/6/2017,"Rogers, MN","2 yellow orange objects moved past my windows.I was in bed watching tv and saw a light out of the corner of my eyes, moving past my bedroom window.  I thought it was one of those things you light a candle and it floats away.  I jumped out of bed to run to patio door in living room to go on to deck to watch it go by.  As I got to door, I saw another one coming right behind it.  They both moved at the same pace very slow.  At that moment, I knew it was not what I thought it was.  I moved into the dark as I did not want them to see me.  At that same moment it was like the 2nd one told the first one to turn and they both turned and moved over the cornfield towards the grade school.  I heard a plane above and looked up and then looked back and they were gone.  They glowed yellow orange and did not make a sound.  I was about 15 feet from them as they passed by. I am not sure of date as I really blew it off as luminaries (think that is what they are called). Until I saw quite a few being sent off on tv and these did not move like them.((ADDENDUM FROM WITNESS))Hello Mr. Davenport,  thank you for getting back to me so soon.  I know it was in 2015.  Not sure if it was spring or fall. I just remember there was not any crops in the field behind my town home. It was warm out as I had some windows and patio door open.  Now that I really realize what I saw, I am going through the same emotions again as I did that night.  But now I am having a lot of anxiety.  When they passed, I did not feel evil, it was like they where looking in the windows on the 2nd level.  I tried to tell myself that they where what every those luminary things are with the candle that makes them float away.  Until I saw them being set off on TV.  They floated up, these objects moved steady across and changed direction.  I told myself that they had to be tied together by a long string if they were luminaries.  There was no sound at all. I hope this helps.  I would like to know if any other sightings in my area and if possible to reach out to them.Thank you for your time. ((END ADDENDUM))((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))"
94,4/6/2015 20:00,5/6/2017 3:02:51 AM 03:02,5/6/2017,"Dodge City, KS","We got home from working the 2-10 shift at security?  We sat on the front porch, & then I saw it!!!  It was across the street over the neighbor house, made no sound and a pulsing light white and green flouting right threw the trees and disappear?((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))"
95,10/20/2013 02:00,5/1/2017 4:43:35 PM 16:43,5/6/2017,"Brockville (Canada), ON","Brown saucer with red and green lights seen in Brockville, Ontario, Canada.Though I do not recall the exact date, it was roughly 2013-2014, and I believe it was late in the year (around September).  I was in bed and I saw the UFO through my window.  It was, judging by the distance, a seemingly very small craft.  Perhaps the size of a Dodge caravan, maybe bigger.It had metal prongs/legs all around the craft, red and green lights, and the vessel itself was brown in colour with darker brown, thick plates on what seemed to be the front of the vessel (based on the plates facing the direction it was moving).  I opened my window to see if I could hear anything, but I could not.  The UFO was literally, completely silent.  It was not emitting any sort of fog or exhaust, simply hovering as if it were completely defying gravity.The UFO was also extremely slow-moving, moving at ~5 mph.  It moved across the sky in a straight line and then stopped abruptly, perfectly frozen in place, for about 60 seconds before continuing its path.((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))"
96,7/4/2012 23:30,5/2/2017 9:46:58 AM 09:46,5/6/2017,"Concord, NC",There was a reflection on the window of a circular disk that seemed to be going in a circular motion it seemed like the reflection of the moon but it was behind the building so it couldnt have been when we turned to look what was causing ut we saw three of them in a triangular motion and one much larger that was spinning.((NUFORC Note:  Source of the report provides no contact information.  PD))
97,3/14/2003 17:00,4/30/2017 11:25:54 AM 11:25,5/6/2017,"Navarre, FL",i was observing what I thought to be a large electrical pole floating with the current of the sound.  Pole passed me a few hundred yards out.  When the pole was approximately 100 yds past me it stared going upstream.  I ran inside to get field glasses.  The pole stared an angle toward me.  My first observation was that it was rotating very fast.  The next thing I noticed was beyond my comprehension.  The best I can describe is to be compared to a candy stripe.  The stripe on the pole was not moving and i compare to a belt of water (irredesent).  The pole lifted with waves then i saw what ill call wings vibrating fast.  The wings looked like they were made of water. the wing were attached to the stripe.  I called for my wife to examine.  The rain blocked my vision.  I put this out of my mind never mentioned.  I saw them on the history channel 2012.((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))
98,6/1/1997 16:00,5/1/2017 8:03:55 AM 08:03,5/6/2017,"Boston, MA","TR3B Absolutely Certain!I saw the TR3B in the sky in Massachusetts in 1997.  It hovered for 15 minutes, then accelerated from 0 to like MACH 10 in a fraction of a second.  It is real!  A US Navy recon space ship that defied the laws of inertia right in front of me!  I was driving on the highway and saw the triangular shaped craft in the sky.  I pulled over into the breakdown lane and stared at it.  I could see 3 bright lights at each corner of the craft.  It twisted clockwise and counterclockwise like it was floating and was light as a feather.  After 15 mins, it took off at an incredible speed.  I was 100% confused by this when it happened and for years didn't tell anyone for fear of being ridiculed.  And now 20 years later thanks to YouTube.  I now know I'm not crazy!!!!!!!!!!!!((NUFORC Note:  Many people seem to believe in the existence of a craft called the TR3B, but no photos have been forthcoming, as far as we know, over the course of the past several decades.  If such a craft exists, we have to wonder why it would be being flown over Boston, MA.  PD))"
